triad_id~triad_stack_id~topic_id~stance~tick~simulation_id
Triad_ID_580~TS-B-ID-4~NATO military actions in Lithuania~-2.6950999999999996~4~1
Triad_ID_581~TS-B-ID-4~NATO military actions in Lithuania~-1.3640999999999999~4~1
Triad_ID_582~TS-B-ID-4~NATO military actions in Lithuania~-1.3640999999999999~4~1
Triad_ID_583~TS-B-ID-4~NATO military actions in Lithuania~-0.03309999999999996~4~1
Triad_ID_584~TS-B-ID-4~NATO military actions in Lithuania~-0.03309999999999996~4~1
Triad_ID_585~TS-B-ID-4~NATO military actions in Lithuania~-0.03309999999999996~4~1
Triad_ID_586~TS-B-ID-4~NATO military actions in Lithuania~-0.03309999999999996~4~1
Triad_ID_587~TS-B-ID-6~NATO military actions in Lithuania~-2.5620000000000003~4~1
Triad_ID_588~TS-B-ID-6~NATO military actions in Lithuania~-1.3640999999999999~4~1
Triad_ID_589~TS-B-ID-6~NATO military actions in Lithuania~-1.3640999999999999~4~1
Triad_ID_590~TS-B-ID-6~NATO military actions in Lithuania~-0.03309999999999996~4~1
Triad_ID_591~TS-B-ID-6~NATO military actions in Lithuania~-0.03309999999999996~4~1
Triad_ID_592~TS-B-ID-6~NATO military actions in Lithuania~-0.03309999999999996~4~1
Triad_ID_593~TS-B-ID-6~NATO military actions in Lithuania~-0.03309999999999996~4~1
Triad_ID_100~TS-B-ID-9~NATO military actions in Lithuania~-1.3640999999999999~4~1
Triad_ID_101~TS-B-ID-9~NATO military actions in Lithuania~-0.03309999999999996~4~1
Triad_ID_102~TS-B-ID-9~NATO military actions in Lithuania~-0.03309999999999996~4~1
Triad_ID_103~TS-B-ID-9~NATO military actions in Lithuania~1.2979~4~1
Triad_ID_104~TS-B-ID-9~NATO military actions in Lithuania~1.4310000000000003~4~1
Triad_ID_105~TS-B-ID-9~NATO military actions in Lithuania~2.6289000000000002~4~1
Triad_ID_106~TS-B-ID-9~NATO military actions in Lithuania~2.6289000000000002~4~1
Triad_ID_107~TS-B-ID-9~NATO military actions in Lithuania~2.6289000000000002~4~1
Triad_ID_1~TS-B-ID-14~NATO military actions in Lithuania~-2~4~1
Triad_ID_2~TS-B-ID-14~NATO military actions in Lithuania~-1~4~1
Triad_ID_3~TS-B-ID-14~NATO military actions in Lithuania~0~4~1
Triad_ID_4~TS-B-ID-14~NATO military actions in Lithuania~0~4~1
Triad_ID_5~TS-B-ID-14~NATO military actions in Lithuania~0~4~1
Triad_ID_6~TS-B-ID-14~NATO military actions in Lithuania~0~4~1
Triad_ID_7~TS-B-ID-14~NATO military actions in Lithuania~0~4~1
Triad_ID_8~TS-B-ID-14~NATO military actions in Lithuania~1~4~1
Triad_ID_9~TS-B-ID-14~Donovian military actions in Lithuania~-1~4~1
Triad_ID_108~TS-B-ID-16~NATO military actions in Lithuania~-1.1~4~1
Triad_ID_109~TS-B-ID-16~NATO military actions in Lithuania~0~4~1
Triad_ID_110~TS-B-ID-16~NATO military actions in Lithuania~0~4~1
Triad_ID_111~TS-B-ID-16~NATO military actions in Lithuania~1~4~1
Triad_ID_112~TS-B-ID-16~NATO military actions in Lithuania~1.1~4~1
Triad_ID_113~TS-B-ID-16~NATO military actions in Lithuania~2~4~1
Triad_ID_114~TS-B-ID-16~NATO military actions in Lithuania~2~4~1
Triad_ID_115~TS-B-ID-16~NATO military actions in Lithuania~2~4~1
Triad_ID_380~TS-B-ID-16~Great Synagogue of Vilna~-3~4~1
