triad_id~triad_stack_id~topic_id~stance~tick~simulation_id
Triad_ID_1_733~TS-B-ID-18~NATO military actions in Lithuania~0.006350253522130776~5~Sim4
Triad_ID_1_734~TS-B-ID-18~Donovian military actions in Lithuania~-1.9968123776223905~5~Sim4
Triad_ID_1_735~TS-B-ID-18~IDPs migrate to Poland as result of war~-0.9968111776223902~5~Sim4
Triad_ID_1_736~TS-B-ID-18~Censorship of media by Donovia~0.0031892199824064002~5~Sim4
Triad_ID_1_737~TS-B-ID-18~Low Morale of Donovian soldiers~-0.9968123792175936~5~Sim4
Triad_ID_1_738~TS-B-ID-18~Low Morale of Lithuanian civilians~-0.9968103792223904~5~Sim4
Triad_ID_1_499~TS-B-ID-23~NATO military actions in Lithuania~0.006346265523600004~5~Sim4
Triad_ID_1_500~TS-B-ID-23~Donovian military actions in Lithuania~-1.9968115792175938~5~Sim4
Triad_ID_1_501~TS-B-ID-23~IDPs migrate to Poland as result of war~-0.9968123792175936~5~Sim4
Triad_ID_1_502~TS-B-ID-23~Censorship of media by Donovia~0.0031888223776096003~5~Sim4
Triad_ID_1_503~TS-B-ID-23~Low Morale of Donovian soldiers~-0.9968123792175936~5~Sim4
Triad_ID_1_504~TS-B-ID-23~Low Morale of Lithuanian civilians~-0.9968107800175936~5~Sim4
Triad_ID_1_643~TS-B-ID-38~NATO military actions in Lithuania~0.023185273609233406~5~Sim4
Triad_ID_1_644~TS-B-ID-38~Donovian military actions in Lithuania~-1.988201728396074~5~Sim4
Triad_ID_1_645~TS-B-ID-38~IDPs migrate to Poland as result of war~-0.9881977443261~5~Sim4
Triad_ID_1_646~TS-B-ID-38~Censorship of media by Donovia~0.011801454912057622~5~Sim4
Triad_ID_1_647~TS-B-ID-38~Low Morale of Donovian soldiers~-0.9882013195822423~5~Sim4
Triad_ID_1_648~TS-B-ID-38~Low Morale of Lithuanian civilians~-0.9882037045410709~5~Sim4
Triad_ID_1_745~TS-B-ID-47~NATO military actions in Lithuania~0.023180177921636038~5~Sim4
Triad_ID_1_746~TS-B-ID-47~Donovian military actions in Lithuania~-1.9882013063842714~5~Sim4
Triad_ID_1_747~TS-B-ID-47~IDPs migrate to Poland as result of war~-0.9882017022120657~5~Sim4
Triad_ID_1_748~TS-B-ID-47~Censorship of media by Donovia~0.011797119152669844~5~Sim4
Triad_ID_1_749~TS-B-ID-47~Low Morale of Donovian soldiers~-0.9882021125703996~5~Sim4
Triad_ID_1_750~TS-B-ID-47~Low Morale of Lithuanian civilians~-0.9882013023116929~5~Sim4
Triad_ID_1_109~TS-B-ID-71~NATO military actions in Lithuania~0.0063486623125020595~5~Sim4
Triad_ID_1_110~TS-B-ID-71~Donovian military actions in Lithuania~-1.9968115792175938~5~Sim4
Triad_ID_1_111~TS-B-ID-71~IDPs migrate to Poland as result of war~-0.9968119800175936~5~Sim4
Triad_ID_1_112~TS-B-ID-71~Censorship of media by Donovia~0.0031892207776096~5~Sim4
Triad_ID_1_113~TS-B-ID-71~Low Morale of Donovian soldiers~-0.9968127768223903~5~Sim4
Triad_ID_1_114~TS-B-ID-71~Low Morale of Lithuanian civilians~-0.9968103816175935~5~Sim4
Triad_ID_1_613~TS-B-ID-88~NATO military actions in Lithuania~0.05394102804634775~5~Sim4
Triad_ID_1_614~TS-B-ID-88~Donovian military actions in Lithuania~-1.9718388714807433~5~Sim4
Triad_ID_1_615~TS-B-ID-88~IDPs migrate to Poland as result of war~-0.9718415968964729~5~Sim4
Triad_ID_1_616~TS-B-ID-88~Censorship of media by Donovia~0.028161452141253353~5~Sim4
Triad_ID_1_617~TS-B-ID-88~Low Morale of Donovian soldiers~-0.9718412705907635~5~Sim4
Triad_ID_1_618~TS-B-ID-88~Low Morale of Lithuanian civilians~-0.9718404315861809~5~Sim4
Triad_ID_1_1045~TS-B-ID-114~NATO military actions in Lithuania~0.006350243990688119~5~Sim4
Triad_ID_1_1046~TS-B-ID-114~Donovian military actions in Lithuania~-1.9968111776223905~5~Sim4
Triad_ID_1_1047~TS-B-ID-114~IDPs migrate to Poland as result of war~-0.9968111776223902~5~Sim4
Triad_ID_1_1048~TS-B-ID-114~Censorship of media by Donovia~0.0031876207824063996~5~Sim4
Triad_ID_1_1049~TS-B-ID-114~Low Morale of Donovian soldiers~-0.9968111776223902~5~Sim4
Triad_ID_1_1050~TS-B-ID-114~Low Morale of Lithuanian civilians~-0.9968123776223903~5~Sim4
Triad_ID_1_55~TS-B-ID-130~NATO military actions in Lithuania~0.00635024478589132~5~Sim4
Triad_ID_1_56~TS-B-ID-130~Donovian military actions in Lithuania~-1.9968119768223904~5~Sim4
Triad_ID_1_57~TS-B-ID-130~IDPs migrate to Poland as result of war~-0.9968123776223903~5~Sim4
Triad_ID_1_58~TS-B-ID-130~Censorship of media by Donovia~0.0031880199824064~5~Sim4
Triad_ID_1_59~TS-B-ID-130~Low Morale of Donovian soldiers~-0.9968099816175936~5~Sim4
Triad_ID_1_60~TS-B-ID-130~Low Morale of Lithuanian civilians~-0.9968111776223902~5~Sim4
Triad_ID_1_637~TS-B-ID-134~NATO military actions in Lithuania~0.006348648766752023~5~Sim4
Triad_ID_1_638~TS-B-ID-134~Donovian military actions in Lithuania~-1.9968107800175938~5~Sim4
Triad_ID_1_639~TS-B-ID-134~IDPs migrate to Poland as result of war~-0.9968119800175936~5~Sim4
Triad_ID_1_640~TS-B-ID-134~Censorship of media by Donovia~0.0031880199824064~5~Sim4
Triad_ID_1_641~TS-B-ID-134~Low Morale of Donovian soldiers~-0.9968107800175936~5~Sim4
Triad_ID_1_642~TS-B-ID-134~Low Morale of Lithuanian civilians~-0.9968123776223903~5~Sim4
Triad_ID_1_685~TS-B-ID-138~NATO military actions in Lithuania~0.006346267102914853~5~Sim4
Triad_ID_1_686~TS-B-ID-138~Donovian military actions in Lithuania~-1.9968107800175938~5~Sim4
Triad_ID_1_687~TS-B-ID-138~IDPs migrate to Poland as result of war~-0.9968123792175936~5~Sim4
